code,name,fda_major,fssai_declared,notes
milk,Milk and milk products,1,1,"Includes lactose. Ghee, paneer, curd, butter and cream are milk products."
egg,Eggs and egg products,1,1,
fish,Fish and fish products,1,1,
crustacean,Crustacean shellfish,1,1,"Prawn, shrimp, crab, lobster."
tree_nut,Tree nuts,1,1,"Almond, cashew, walnut, pistachio, etc."
peanut,Peanuts (groundnuts),1,1,
wheat_gluten,Wheat / cereals containing gluten,1,1,"FDA lists wheat; FSSAI lists cereals containing gluten (wheat, rye, barley, oats, spelt)."
soy,Soybeans and soy products,1,1,
sesame,Sesame,1,0,"Major allergen in the US since 1 Jan 2023 (FASTER Act). Not on the FSSAI mandatory list, but a common allergen."
sulphite,Added sulphites (>= 10 mg/kg),0,1,FSSAI declaration threshold 10 mg/kg.
