item,price_inr,per_unit,grams_per_unit,source,as_of,notes
onion,30,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
tomato,40,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
potato,30,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
garlic,150,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
ginger,120,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
chicken breast,300,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
chicken,240,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
mutton,800,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
fish,400,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
rice,60,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
basmati rice,100,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
brown rice,120,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
atta,40,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,whole wheat flour
maida,45,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,refined wheat flour
besan,90,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,gram flour
suji,50,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,semolina
poha,60,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,flattened rice
toor dal,140,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
moong dal,120,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
urad dal,130,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
chana dal,100,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
masoor dal,120,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,reference 'lentils' price
paneer,400,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
milk,60,l,1030,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,1 l milk ~ 1030 g
coconut milk,200,l,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
egg,7,piece,50,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,1 large egg ~ 50 g
bread,40,piece,400,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,1 loaf ~ 400 g
butter,560,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
ghee,600,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
oil,150,l,920,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,generic vegetable oil; 1 l ~ 920 g
olive oil,800,l,920,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
mustard oil,160,l,920,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
coconut oil,250,l,920,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
salt,20,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
sugar,45,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
jaggery,60,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
coriander leaves,20,piece,100,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,1 bunch ~ 100 g
mint leaves,15,piece,100,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,1 bunch ~ 100 g
curry leaves,10,piece,30,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,1 bunch ~ 30 g
spinach,60,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
cauliflower,50,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
cabbage,40,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
capsicum,60,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
carrot,50,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
beans,60,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,green beans
peas,80,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,green peas
okra,40,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
brinjal,40,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
apple,150,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
banana,5,piece,120,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,1 medium banana ~ 120 g
mango,100,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
curd,80,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,plain yogurt
cucumber,40,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
lemon,5,piece,60,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,1 lemon ~ 60 g
green chilli,80,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
chickpeas,160,kg,1000,NutriChef estimate; unverified,unverified,"kabuli chana, dried"
rajma,180,kg,1000,NutriChef estimate; unverified,unverified,"kidney beans, dried"
oats,200,kg,1000,NutriChef estimate; unverified,unverified,rolled oats
peanuts,160,kg,1000,NutriChef estimate; unverified,unverified,raw
almonds,900,kg,1000,NutriChef estimate; unverified,unverified,
tofu,400,kg,1000,NutriChef estimate; unverified,unverified,
soya chunks,200,kg,1000,NutriChef estimate; unverified,unverified,
mushroom,250,kg,1000,NutriChef estimate; unverified,unverified,button mushroom
sweet potato,60,kg,1000,NutriChef estimate; unverified,unverified,
moong sprouts,140,kg,1000,NutriChef estimate; unverified,unverified,
whole moong,140,kg,1000,NutriChef estimate; unverified,unverified,green gram
tamarind,200,kg,1000,NutriChef estimate; unverified,unverified,
