allergen_code,keyword
milk,milk
milk,whey
milk,whey protein
milk,casein
milk,caseinate
milk,paneer
milk,curd
milk,dahi
milk,yogurt
milk,yoghurt
milk,cheese
milk,butter
milk,ghee
milk,cream
milk,khoa
milk,khoya
milk,malai
milk,lactose
milk,buttermilk
milk,chaas
milk,lassi
milk,condensed milk
milk,milk powder
milk,ice cream
egg,egg
egg,eggs
egg,egg white
egg,egg whites
egg,egg yolk
egg,egg yolks
egg,albumin
egg,albumen
egg,mayonnaise
egg,mayo
egg,meringue
fish,fish
fish,salmon
fish,tuna
fish,cod
fish,sardine
fish,sardines
fish,mackerel
fish,rohu
fish,katla
fish,pomfret
fish,surmai
fish,hilsa
fish,bangda
fish,anchovy
fish,anchovies
fish,fish sauce
crustacean,prawn
crustacean,prawns
crustacean,shrimp
crustacean,shrimps
crustacean,crab
crustacean,crabs
crustacean,lobster
crustacean,crayfish
crustacean,jhinga
crustacean,krill
tree_nut,almond
tree_nut,almonds
tree_nut,badam
tree_nut,cashew
tree_nut,cashews
tree_nut,kaju
tree_nut,walnut
tree_nut,walnuts
tree_nut,akhrot
tree_nut,pistachio
tree_nut,pistachios
tree_nut,pista
tree_nut,hazelnut
tree_nut,hazelnuts
tree_nut,pecan
tree_nut,pecans
tree_nut,macadamia
tree_nut,brazil nut
tree_nut,pine nut
tree_nut,pine nuts
tree_nut,chilgoza
tree_nut,chestnut
tree_nut,chestnuts
tree_nut,praline
tree_nut,marzipan
peanut,peanut
peanut,peanuts
peanut,groundnut
peanut,groundnuts
peanut,moongphali
peanut,mungfali
peanut,peanut butter
peanut,peanut oil
peanut,groundnut oil
peanut,arachis oil
wheat_gluten,wheat
wheat_gluten,whole wheat
wheat_gluten,atta
wheat_gluten,maida
wheat_gluten,suji
wheat_gluten,sooji
wheat_gluten,semolina
wheat_gluten,rava
wheat_gluten,rawa
wheat_gluten,dalia
wheat_gluten,bulgur
wheat_gluten,couscous
wheat_gluten,seitan
wheat_gluten,bread
wheat_gluten,breadcrumbs
wheat_gluten,roti
wheat_gluten,chapati
wheat_gluten,paratha
wheat_gluten,naan
wheat_gluten,pasta
wheat_gluten,noodles
wheat_gluten,vermicelli
wheat_gluten,sevai
wheat_gluten,barley
wheat_gluten,jau
wheat_gluten,rye
wheat_gluten,oat
wheat_gluten,oats
wheat_gluten,spelt
wheat_gluten,kamut
wheat_gluten,all-purpose flour
wheat_gluten,plain flour
wheat_gluten,wheat flour
wheat_gluten,soy sauce
soy,soy
soy,soya
soy,soybean
soy,soybeans
soy,soy sauce
soy,soy milk
soy,soya milk
soy,tofu
soy,tempeh
soy,edamame
soy,miso
soy,soy lecithin
soy,soya chunks
soy,soya granules
soy,textured vegetable protein
soy,tvp
sesame,sesame
sesame,sesame seeds
sesame,sesame oil
sesame,til
sesame,tahini
sesame,gingelly oil
sesame,benne
sulphite,sulphite
sulphite,sulphites
sulphite,sulfite
sulphite,sulfites
sulphite,sodium metabisulphite
sulphite,potassium metabisulphite
sulphite,sodium metabisulfite
sulphite,sulphur dioxide
sulphite,sulfur dioxide
