item,price_inr,per_unit,grams_per_unit,source,as_of,notes
onion,30,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
tomato,40,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
potato,30,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
garlic,150,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
ginger,120,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
chicken breast,300,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
chicken,240,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
mutton,800,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
fish,400,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
rice,60,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
basmati rice,100,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
brown rice,120,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
atta,40,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,whole wheat flour
maida,45,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,refined wheat flour
besan,90,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,gram flour
suji,50,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,semolina
poha,60,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,flattened rice
toor dal,140,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
moong dal,120,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
urad dal,130,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
chana dal,100,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
masoor dal,120,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,reference 'lentils' price
paneer,400,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
milk,60,l,1030,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,1 l milk ~ 1030 g
coconut milk,200,l,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
egg,7,piece,50,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,1 large egg ~ 50 g
bread,40,piece,400,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,1 loaf ~ 400 g
butter,560,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
ghee,600,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
oil,150,l,920,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,generic vegetable oil; 1 l ~ 920 g
olive oil,800,l,920,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
mustard oil,160,l,920,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
coconut oil,250,l,920,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
salt,20,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
sugar,45,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
jaggery,60,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
coriander leaves,20,piece,100,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,1 bunch ~ 100 g
mint leaves,15,piece,100,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,1 bunch ~ 100 g
curry leaves,10,piece,30,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,1 bunch ~ 30 g
spinach,60,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
cauliflower,50,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
cabbage,40,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
capsicum,60,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
carrot,50,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
beans,60,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,green beans
peas,80,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,green peas
okra,40,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
brinjal,40,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
apple,150,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
banana,5,piece,120,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,1 medium banana ~ 120 g
mango,100,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
curd,80,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,plain yogurt
cucumber,40,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
lemon,5,piece,60,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,1 lemon ~ 60 g
green chilli,80,kg,1000,mealora-ai-agent reference repo (prices_medium.json); unverified estimate,unverified,
chickpeas,160,kg,1000,NutriChef estimate; unverified,unverified,"kabuli chana, dried"
rajma,180,kg,1000,NutriChef estimate; unverified,unverified,"kidney beans, dried"
oats,200,kg,1000,NutriChef estimate; unverified,unverified,rolled oats
peanuts,160,kg,1000,NutriChef estimate; unverified,unverified,raw
almonds,900,kg,1000,NutriChef estimate; unverified,unverified,
tofu,400,kg,1000,NutriChef estimate; unverified,unverified,
soya chunks,200,kg,1000,NutriChef estimate; unverified,unverified,
mushroom,250,kg,1000,NutriChef estimate; unverified,unverified,button mushroom
sweet potato,60,kg,1000,NutriChef estimate; unverified,unverified,
moong sprouts,140,kg,1000,NutriChef estimate; unverified,unverified,
whole moong,140,kg,1000,NutriChef estimate; unverified,unverified,green gram
tamarind,200,kg,1000,NutriChef estimate; unverified,unverified,
spring onion,60,kg,1000,NutriChef estimate; unverified,unverified,
celery,200,kg,1000,NutriChef estimate; unverified,unverified,
broccoli,120,kg,1000,NutriChef estimate; unverified,unverified,
corn,80,kg,1000,NutriChef estimate; unverified,unverified,sweet corn kernels
lettuce,150,kg,1000,NutriChef estimate; unverified,unverified,
zucchini,100,kg,1000,NutriChef estimate; unverified,unverified,
raisins,400,kg,1000,NutriChef estimate; unverified,unverified,
strawberry,400,kg,1000,NutriChef estimate; unverified,unverified,
pineapple,60,kg,1000,NutriChef estimate; unverified,unverified,
blueberries,1200,kg,1000,NutriChef estimate; unverified,unverified,
cranberries,900,kg,1000,NutriChef estimate; unverified,unverified,dried
dates,350,kg,1000,NutriChef estimate; unverified,unverified,
orange juice,150,l,1040,NutriChef estimate; unverified,unverified,
water,0,l,1000,free from the tap,unverified,
white wine,1200,l,990,NutriChef estimate; unverified,unverified,
greek yogurt,400,kg,1000,NutriChef estimate; unverified,unverified,
cream,320,l,1000,NutriChef estimate; unverified,unverified,
sour cream,500,kg,1000,NutriChef estimate; unverified,unverified,
cream cheese,800,kg,1000,NutriChef estimate; unverified,unverified,
cheddar,800,kg,1000,NutriChef estimate; unverified,unverified,
mozzarella,600,kg,1000,NutriChef estimate; unverified,unverified,
parmesan,2000,kg,1000,NutriChef estimate; unverified,unverified,
evaporated milk,300,kg,1000,NutriChef estimate; unverified,unverified,
condensed milk,320,kg,1000,NutriChef estimate; unverified,unverified,
buttermilk,40,l,1030,NutriChef estimate; unverified,unverified,
whipped topping,500,kg,1000,NutriChef estimate; unverified,unverified,
egg white,250,kg,1000,NutriChef estimate; unverified,unverified,
ground beef,400,kg,1000,NutriChef estimate; unverified,unverified,
bacon,900,kg,1000,NutriChef estimate; unverified,unverified,
ham,800,kg,1000,NutriChef estimate; unverified,unverified,
sausage,500,kg,1000,NutriChef estimate; unverified,unverified,
salmon,1200,kg,1000,NutriChef estimate; unverified,unverified,
tuna,900,kg,1000,NutriChef estimate; unverified,unverified,canned
prawn,700,kg,1000,NutriChef estimate; unverified,unverified,
black beans,200,kg,1000,NutriChef estimate; unverified,unverified,
peanut butter,500,kg,1000,NutriChef estimate; unverified,unverified,
cashews,900,kg,1000,NutriChef estimate; unverified,unverified,
walnuts,1200,kg,1000,NutriChef estimate; unverified,unverified,
pecans,2000,kg,1000,NutriChef estimate; unverified,unverified,
nuts,900,kg,1000,NutriChef estimate; unverified,unverified,mixed nuts
sesame seeds,250,kg,1000,NutriChef estimate; unverified,unverified,
flaxseed,200,kg,1000,NutriChef estimate; unverified,unverified,
coconut,200,kg,1000,NutriChef estimate; unverified,unverified,fresh grated
cornstarch,120,kg,1000,NutriChef estimate; unverified,unverified,
pasta,200,kg,1000,NutriChef estimate; unverified,unverified,
cooked rice,25,kg,1000,NutriChef estimate; unverified,unverified,cooked weight includes water
shortening,200,kg,1000,NutriChef estimate; unverified,unverified,
cooking spray,1500,kg,1000,NutriChef estimate; unverified,unverified,
brown sugar,80,kg,1000,NutriChef estimate; unverified,unverified,
powdered sugar,80,kg,1000,NutriChef estimate; unverified,unverified,
honey,500,kg,1000,NutriChef estimate; unverified,unverified,
maple syrup,1500,l,1320,NutriChef estimate; unverified,unverified,
molasses,200,kg,1000,NutriChef estimate; unverified,unverified,
marshmallows,600,kg,1000,NutriChef estimate; unverified,unverified,
baking powder,300,kg,1000,NutriChef estimate; unverified,unverified,
baking soda,100,kg,1000,NutriChef estimate; unverified,unverified,
vanilla,3000,l,1000,NutriChef estimate; unverified,unverified,essence
cocoa,800,kg,1000,NutriChef estimate; unverified,unverified,
chocolate chips,700,kg,1000,NutriChef estimate; unverified,unverified,
yeast,400,kg,1000,NutriChef estimate; unverified,unverified,
cake mix,400,kg,1000,NutriChef estimate; unverified,unverified,
soy sauce,200,l,1100,NutriChef estimate; unverified,unverified,
vinegar,100,l,1010,NutriChef estimate; unverified,unverified,
ketchup,150,kg,1000,NutriChef estimate; unverified,unverified,
tomato sauce,150,kg,1000,NutriChef estimate; unverified,unverified,
mayonnaise,250,kg,1000,NutriChef estimate; unverified,unverified,
mustard,300,kg,1000,NutriChef estimate; unverified,unverified,prepared mustard
condensed soup,300,kg,1000,NutriChef estimate; unverified,unverified,
worcestershire,600,l,1080,NutriChef estimate; unverified,unverified,
onion soup mix,800,kg,1000,NutriChef estimate; unverified,unverified,
